,Name,Price,Format,Rating,URL
92,"Angelic Channeled Messages: Self-Love, Abundance, Awakening, Invocations and Spiritual Troubleshooting",$0.00,Kindle Edition ,0,https://www.amazon.com//dp/B09J34BB8D/ref=sr_1_100?dchild=1&keywords=self+love&qid=1633860687&sr=8-100
93,"Purposeful Perspectives: Empowering Black Women Towards Spiritual Alignment, Self-Mastery & Joy",$14.69,Paperback ,4.9 out of 5 stars,https://www.amazon.com//Purposeful-Perspectives-Empowering-Spiritual-Self-Mastery/dp/1736025805/ref=sr_1_101?dchild=1&keywords=self+love&qid=1633860687&sr=8-101
94,"The 5-Minute Gratitude Journal: Give Thanks, Practice Positivity, Find Joy",$10.79,Paperback ,4.7 out of 5 stars,https://www.amazon.com//5-Minute-Gratitude-Journal-Practice-Positivity/dp/1647397197/ref=sr_1_102?dchild=1&keywords=self+love&qid=1633860687&sr=8-102
95,"Self Help Workbook: 3 Books in 1: Self-Confidence, Self-love and Self Esteem for Women",$9.93,Hardcover ,4.3 out of 5 stars,https://www.amazon.com//Self-Help-Workbook-Self-Confidence-Self-love/dp/1801206724/ref=sr_1_103?dchild=1&keywords=self+love&qid=1633860687&sr=8-103
96,Self love is a business: OWN YOU,$20.00,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Self-love-business-OWN-YOU/dp/B098CWDT5K/ref=sr_1_104?dchild=1&keywords=self+love&qid=1633860687&sr=8-104
97,Over the Top: A Raw Journey to Self-Love,$0.00,Audible Audiobook ,4.8 out of 5 stars,https://www.amazon.com//Over-Top-Jonathan-Van-Ness-audiobook/dp/B07Q386LM5/ref=sr_1_105?dchild=1&keywords=self+love&qid=1633860687&sr=8-105
98,Dear Self,$14.99,Paperback ,4.8 out of 5 stars,https://www.amazon.com//Dear-Self-This-Being-There/dp/1916366619/ref=sr_1_107?dchild=1&keywords=self+love&qid=1633860687&sr=8-107
99,The Miracle of Self-Love: The Secret Key to Open All Doors,$9.99,Kindle ,4.2 out of 5 stars,https://www.amazon.com//Miracle-Self-Love-Secret-Open-Doors-ebook/dp/B00A6CUDOU/ref=sr_1_108?dchild=1&keywords=self+love&qid=1633860687&sr=8-108
100,"The Ultimate Self-Esteem Workbook for Teens: Overcome Insecurity, Defeat Your Inner Critic, and Live Confidently",$12.19,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Ultimate-Self-Esteem-Workbook-Teens-Confidently/dp/1641526106/ref=sr_1_109?dchild=1&keywords=self+love&qid=1633860687&sr=8-109
101,"Feeding the Soul (Because It's My Business): Finding Our Way to Joy, Love, and Freedom",$16.79,Hardcover ,4.9 out of 5 stars,https://www.amazon.com//Feeding-Soul-Because-Its-Business/dp/0063080281/ref=sr_1_110?dchild=1&keywords=self+love&qid=1633860687&sr=8-110
102,"Hey Girl! Self-Love Journal for Women: Embrace Wellbeing, Practice Self-Compassion & Gratitude, and Learn to Love Yourself for Who You Are",$8.99,Paperback ,4.8 out of 5 stars,https://www.amazon.com//Girl-Self-Love-Journal-Women-Self-Compassion/dp/1952821096/ref=sr_1_111?dchild=1&keywords=self+love&qid=1633860687&sr=8-111
103,"Brown Girl's Guide to Self-Love: Commit to your Self-Love Rituals with care, love, and intention",$14.99,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Brown-Girls-Guide-Self-Love-intention/dp/B09981QBV8/ref=sr_1_112?dchild=1&keywords=self+love&qid=1633860687&sr=8-112
104,Self-Love and Mindfulness,$17.00,Paperback ,0,https://www.amazon.com//Self-Love-Mindfulness-Lisa-Craig/dp/B097F2N9HK/ref=sr_1_113?dchild=1&keywords=self+love&qid=1633860687&sr=8-113
105,Luna Finds Love Everywhere: A Self-Love Book for Kids,$16.95,Hardcover ,5.0 out of 5 stars,https://www.amazon.com//Luna-Finds-Love-Everywhere-Self-Love/dp/1646041925/ref=sr_1_114?dchild=1&keywords=self+love&qid=1633860687&sr=8-114
106,"Calling in ""The One"" Revised and Expanded: 7 Weeks to Attract the Love of Your Life",$15.99,Paperback ,4.5 out of 5 stars,https://www.amazon.com//Calling-One-Revised-Expanded-Attract/dp/0593139798/ref=sr_1_115?dchild=1&keywords=self+love&qid=1633860687&sr=8-115
107,Self Talk: How to Train Your Brain to Turn Negative Thinking into Positive Thinking & Practice Self Love,$0.00,Audible Audiobook ,4.3 out of 5 stars,https://www.amazon.com//Self-Talk-Negative-Thinking-Positive/dp/B075ZZPLVZ/ref=sr_1_116?dchild=1&keywords=self+love&qid=1633860687&sr=8-116
108,"Self-Love Handbook Magnified with Law of Attraction: Instantly Shift into Self-Love, Heal Your Life & Create the Abundance of Joy You Deserve",$0.00,Audible Audiobook ,4.1 out of 5 stars,https://www.amazon.com//Self-Love-Handbook-Magnified-Law-Attraction/dp/B07W8Z2P1S/ref=sr_1_118?dchild=1&keywords=self+love&qid=1633860687&sr=8-118
109,"30 Day Self Love and Affirmations Prompt Journal:: Release Tension, Stress, and Boost Self-Care",$9.99,Paperback ,0,https://www.amazon.com//Self-Love-Affirmations-Prompt-Journal/dp/B09FS5CZB9/ref=sr_1_119?dchild=1&keywords=self+love&qid=1633860687&sr=8-119
110,"My First Third, 31",$11.97,Paperback ,4.5 out of 5 stars,https://www.amazon.com//My-First-Third-Ben-Brody/dp/B08HBDRYHY/ref=sr_1_120?dchild=1&keywords=self+love&qid=1633860687&sr=8-120
111,A Love Attempt : Your Practical Guide to Love,$0.00,Kindle ,4.6 out of 5 stars,https://www.amazon.com//Love-Attempt-Your-Practical-Guide-ebook/dp/B08Z4257N5/ref=sr_1_121?dchild=1&keywords=self+love&qid=1633860687&sr=8-121
112,"Never Chase Men Again: 38 Dating Secrets to Get the Guy, Keep Him Interested, and Prevent Dead-End Relationships",$0.00,Audible Audiobook ,4.4 out of 5 stars,https://www.amazon.com//Never-Chase-Men-Again-audiobook/dp/B01369NN32/ref=sr_1_122?dchild=1&keywords=self+love&qid=1633860687&sr=8-122
113,Secrets of Divine Love: A Spiritual Journey into the Heart of Islam,$15.99,Paperback ,4.9 out of 5 stars,https://www.amazon.com//Secrets-Divine-Love-Spiritual-Journey/dp/1734231203/ref=sr_1_123?dchild=1&keywords=self+love&qid=1633860687&sr=8-123
114,BLOOM: A Journey to Self-Love,$14.99,Paperback ,4.6 out of 5 stars,https://www.amazon.com//BLOOM-Journey-Self-Love-Brittany-Travest%C3%A9/dp/0692829229/ref=sr_1_124?dchild=1&keywords=self+love&qid=1633860687&sr=8-124
